cidade,area,quartos,banheiros,garagem,valor(R$)
Porto Alegre,47,1,1,1,526600
Belo Horizonte,170,4,3,4,755200
São Paulo,45,1,1,0,311200
São Paulo,42,1,1,1,870800
São Paulo,164,4,4,3,1693400
São Paulo,70,3,1,1,386600
Porto Alegre,100,4,3,1,598400
São Paulo,64,2,2,2,1259600
Belo Horizonte,68,2,1,1,312600
Belo Horizonte,75,2,2,2,683600
São Paulo,600,4,4,4,3875600
São Paulo,63,2,2,0,462400
São Paulo,145,3,4,3,1605400
São Paulo,85,2,2,2,925600
São Paulo,254,4,4,4,2856100
Porto Alegre,350,4,4,4,1904000
São Paulo,300,4,4,3,827400
Belo Horizonte,296,4,3,2,2829500
São Paulo,64,2,2,2,663200
São Paulo,133,3,2,0,769200
Campinas,44,1,1,0,183800
Campinas,240,3,4,2,659200
Porto Alegre,70,3,2,1,607000
São Paulo,22,1,1,0,484600
Porto Alegre,50,1,1,1,272800
Porto Alegre,67,3,2,2,576600
São Paulo,31,1,1,0,552000
Rio de Janeiro,90,2,1,1,910800
Rio de Janeiro,109,3,3,1,1229800
Belo Horizonte,400,4,2,2,523000
São Paulo,300,4,5,4,3075800
Campinas,284,4,3,3,1780000
Porto Alegre,70,2,1,1,565200
Rio de Janeiro,309,4,5,4,1985400
São Paulo,70,2,1,0,453200
São Paulo,360,3,4,1,2602100
São Paulo,30,1,1,1,481200
Campinas,80,2,2,2,646200
Belo Horizonte,133,4,4,3,1878800
São Paulo,38,1,1,1,947000
São Paulo,73,2,2,1,949000
São Paulo,155,3,4,2,735200
São Paulo,63,2,2,1,729600
São Paulo,58,2,1,1,293600
São Paulo,48,1,1,0,774200
São Paulo,210,3,4,3,1072000
Belo Horizonte,100,3,2,2,429000
São Paulo,94,3,2,2,1018600
São Paulo,94,3,3,2,1337800
São Paulo,76,3,1,1,799800
São Paulo,192,3,3,2,2126300
São Paulo,217,3,4,3,1893400
São Paulo,68,2,1,1,412600
São Paulo,110,3,2,2,764600
Belo Horizonte,95,2,2,1,489200
São Paulo,900,4,6,8,3938300
São Paulo,34,1,1,0,321600
São Paulo,192,3,4,3,2020200
Porto Alegre,62,2,2,1,450400
São Paulo,180,3,3,4,788000
Campinas,44,1,1,0,258000
Belo Horizonte,100,2,1,1,417800
Rio de Janeiro,140,3,3,1,477600
São Paulo,170,3,3,3,1010800
São Paulo,100,3,2,2,355000
São Paulo,75,3,2,2,471000
Rio de Janeiro,52,2,1,0,291800
Campinas,999,5,7,8,2975800
São Paulo,270,4,4,4,2157900
Belo Horizonte,50,2,1,1,232600
Campinas,200,3,3,2,615600
São Paulo,71,2,2,0,495000
São Paulo,500,5,4,6,2689600
São Paulo,60,2,1,0,238200
São Paulo,110,2,1,0,500200
São Paulo,210,3,3,4,724000
São Paulo,220,3,4,3,1818800
Belo Horizonte,200,3,2,5,854000
São Paulo,130,3,4,3,1421200
São Paulo,65,2,2,2,1066600
São Paulo,96,3,2,2,859000
São Paulo,660,4,5,5,5360400
Rio de Janeiro,107,3,2,0,994400
Rio de Janeiro,105,3,2,0,595600
Rio de Janeiro,100,3,2,0,868400
São Paulo,287,3,4,4,1913200
Campinas,24,1,1,0,286800
São Paulo,22,1,1,0,198200
São Paulo,70,1,1,1,542000
Porto Alegre,44,1,1,1,357800
São Paulo,150,3,2,2,507600
São Paulo,90,1,2,2,831000
São Paulo,200,4,4,2,1333200
São Paulo,320,8,4,0,2291800
Porto Alegre,90,2,1,1,477000
São Paulo,240,4,4,3,1101200
São Paulo,154,4,3,3,1958600
São Paulo,60,2,2,2,1179000
Campinas,101,3,2,0,656400
Porto Alegre,140,3,4,2,629000
São Paulo,500,4,5,8,3415600
São Paulo,110,3,3,3,852400
São Paulo,110,3,3,2,984600
Belo Horizonte,90,2,2,2,462200
São Paulo,384,4,6,4,3807500
São Paulo,57,2,1,1,431400
São Paulo,160,3,3,2,717800
São Paulo,39,1,1,0,323000
Campinas,78,1,2,1,492600
Porto Alegre,36,1,1,1,158200
Campinas,70,2,1,1,354800
Belo Horizonte,45,1,1,1,708600
São Paulo,200,3,4,3,2671800
São Paulo,100,3,3,3,897000
São Paulo,42,1,1,1,1012800
São Paulo,280,4,4,1,2278400
São Paulo,28,1,1,1,698600
São Paulo,30,1,1,0,435200
Belo Horizonte,85,3,2,1,389000
Campinas,83,1,1,1,330600
Campinas,85,3,2,2,808400
Belo Horizonte,90,3,2,2,410400
Belo Horizonte,50,2,1,0,202400
Rio de Janeiro,50,1,1,0,734400
Belo Horizonte,300,3,2,3,1469800
Porto Alegre,39,1,1,0,248000
São Paulo,750,4,4,6,3462000
Porto Alegre,60,2,1,0,277000
Rio de Janeiro,68,2,1,0,405200
São Paulo,70,2,1,1,309200
São Paulo,90,2,2,1,1514400
Rio de Janeiro,258,5,6,0,1900600
São Paulo,200,2,2,6,972000
São Paulo,123,2,2,2,1090600
São Paulo,127,3,2,2,494000
Belo Horizonte,180,4,2,2,408000
São Paulo,110,3,2,0,665600
Rio de Janeiro,70,2,2,1,480800
São Paulo,35,1,1,1,777800
São Paulo,219,3,2,2,618800
Rio de Janeiro,25,1,1,0,152000
Rio de Janeiro,170,4,5,0,1806200
Rio de Janeiro,45,1,1,0,517800
Belo Horizonte,420,4,4,2,1463000
Porto Alegre,46,1,1,0,220800
São Paulo,145,3,3,2,1442400
Belo Horizonte,59,2,2,1,272800
Belo Horizonte,225,4,3,0,1983200
São Paulo,210,4,4,3,1623000
Porto Alegre,76,1,1,0,305800
São Paulo,220,3,4,3,1793200
São Paulo,109,3,2,2,882400
Belo Horizonte,95,2,1,1,356000
São Paulo,32,1,1,0,370000
São Paulo,480,4,6,5,4982400
São Paulo,53,1,1,1,1068000
São Paulo,40,1,1,0,161800
São Paulo,50,1,1,1,772800
São Paulo,60,1,1,0,315000
Porto Alegre,64,2,2,2,404400
Rio de Janeiro,140,3,3,2,2994000
São Paulo,121,3,3,1,640000
Campinas,43,1,1,1,541800
São Paulo,20,1,1,1,615600
Campinas,58,2,1,1,252600
Belo Horizonte,570,5,6,7,1868000
São Paulo,88,2,1,1,761200
São Paulo,89,3,2,2,1432200
Porto Alegre,47,1,1,1,526600
São Paulo,40,1,1,0,233400
Rio de Janeiro,40,1,1,0,490600
Rio de Janeiro,60,1,2,1,248000
São Paulo,25,1,1,0,385600
Porto Alegre,50,2,1,0,303400
Porto Alegre,90,3,1,0,269400
São Paulo,173,3,3,3,1170200
Campinas,91,3,2,2,630800
São Paulo,90,3,2,2,607000
São Paulo,530,5,6,4,5698100
Belo Horizonte,155,1,4,0,223989200
São Paulo,40,1,1,0,263400
São Paulo,296,4,5,3,3038100
São Paulo,87,3,2,1,493600
São Paulo,300,3,3,5,1132000
São Paulo,136,3,3,3,1210800
São Paulo,52,2,1,0,271400
Porto Alegre,94,2,2,2,754600
Rio de Janeiro,300,4,5,3,3503500
Rio de Janeiro,100,3,3,1,844200
São Paulo,500,4,6,3,3282200
São Paulo,240,3,4,3,1922600
Belo Horizonte,308,2,3,3,440800
São Paulo,350,4,5,4,1736600
São Paulo,75,2,2,0,407800
São Paulo,155,3,2,3,3023600
São Paulo,260,3,5,4,1954400
São Paulo,80,2,2,1,341400
Rio de Janeiro,85,3,1,1,584200
São Paulo,120,2,2,2,1064000
São Paulo,100,2,2,1,400000
São Paulo,240,4,5,4,1226200
São Paulo,360,7,6,6,1119000
São Paulo,42,1,1,0,223400
São Paulo,33,1,1,1,709600
Rio de Janeiro,48,1,1,0,342600
Rio de Janeiro,36,1,1,0,307400
São Paulo,270,6,3,6,997000
Campinas,75,2,1,1,401400
Rio de Janeiro,46,2,1,0,378200
São Paulo,350,3,3,3,2288300
Porto Alegre,131,3,3,1,704400
Campinas,90,3,2,1,473200
Rio de Janeiro,26,1,1,0,436400
Rio de Janeiro,44,1,1,0,305800
São Paulo,70,2,2,0,381800
Belo Horizonte,40,1,1,0,183000
Belo Horizonte,320,4,2,4,691800
São Paulo,213,2,2,3,1045600
São Paulo,80,2,1,0,222800
Campinas,70,1,1,0,268200
Rio de Janeiro,60,2,1,1,447000
São Paulo,270,4,4,4,3869700
Rio de Janeiro,70,2,1,1,432200
Porto Alegre,300,6,2,2,1269800
São Paulo,220,4,5,3,2990300
Porto Alegre,64,2,2,2,421600
Rio de Janeiro,80,3,3,1,517800
São Paulo,56,1,1,0,647600
São Paulo,161,4,3,2,2408400
São Paulo,35,1,1,0,343600
São Paulo,720,4,6,5,3111500
São Paulo,280,4,5,4,1298200
Porto Alegre,96,3,2,0,524600
Campinas,236,3,4,4,2636000
São Paulo,81,3,2,1,346800
São Paulo,62,2,1,1,468600
Belo Horizonte,125,3,2,0,287000
São Paulo,37,1,1,1,1040600
São Paulo,60,2,2,1,1186200
São Paulo,230,4,2,3,2043500
São Paulo,210,4,5,2,2481800
São Paulo,450,4,3,8,2877600
São Paulo,234,3,5,4,827200
Belo Horizonte,135,4,3,2,731800
São Paulo,395,4,5,3,1242600
Porto Alegre,92,2,2,1,448400
São Paulo,412,3,5,6,1292400
São Paulo,42,1,1,1,1205600
São Paulo,33,1,1,0,709800
Porto Alegre,28,2,1,1,122200
São Paulo,190,4,4,2,948000
São Paulo,165,4,3,3,2022200
Porto Alegre,44,1,1,0,318600
São Paulo,60,2,1,1,400800
São Paulo,380,3,3,2,3160400
Rio de Janeiro,73,2,1,0,267200
Belo Horizonte,19,1,1,0,364000
Campinas,230,3,5,4,1879200
Porto Alegre,37,1,1,1,607400
São Paulo,124,3,2,3,1686800
Rio de Janeiro,115,3,2,1,783800
Campinas,600,3,3,4,1193400
Rio de Janeiro,700,5,5,4,3655600
Porto Alegre,35,1,1,0,188800
Belo Horizonte,15,1,1,0,223000
Campinas,80,3,2,1,432800
Porto Alegre,48,1,1,0,189800
Belo Horizonte,96,3,2,1,515800
São Paulo,150,3,2,1,1796800
Belo Horizonte,105,3,2,2,1083000
Belo Horizonte,204,4,4,4,2719500
Rio de Janeiro,125,3,1,2,824000
Rio de Janeiro,50,2,1,0,574000
São Paulo,250,3,4,3,806200
São Paulo,300,3,4,3,1255200
São Paulo,80,2,1,1,315600
Rio de Janeiro,130,3,4,1,590600
São Paulo,120,2,3,0,888200
São Paulo,540,3,3,4,4978100
São Paulo,23,1,1,0,512000
São Paulo,15,1,1,0,506400
São Paulo,72,1,2,2,1030200
Rio de Janeiro,95,3,2,2,687400
São Paulo,330,4,5,4,2823600
São Paulo,75,2,2,2,1736800
São Paulo,53,1,1,1,1068800
São Paulo,178,3,2,1,661000
São Paulo,150,3,2,0,817000
São Paulo,50,2,1,1,353200
São Paulo,150,3,2,1,519400
Porto Alegre,25,1,1,0,259200
São Paulo,210,3,4,4,3291800
Belo Horizonte,75,3,2,1,439000
Belo Horizonte,200,2,4,3,3584400
São Paulo,350,4,4,0,1822000
Porto Alegre,49,2,1,1,311400
Porto Alegre,40,1,1,0,406000
São Paulo,45,1,1,1,1300800
São Paulo,46,1,1,1,1743000
São Paulo,80,2,2,2,2628000
São Paulo,30,1,1,0,657400
São Paulo,80,2,2,2,491400
Rio de Janeiro,105,2,2,1,692800
Belo Horizonte,105,3,2,2,683200
São Paulo,114,3,1,0,551800
São Paulo,200,3,3,4,1506200
Porto Alegre,120,3,3,2,802200
São Paulo,60,2,2,1,943800
São Paulo,90,2,1,1,817800
Rio de Janeiro,53,2,1,0,481800
São Paulo,80,2,2,5,621000
Campinas,87,4,2,2,502200
Rio de Janeiro,110,3,1,1,1162000
Belo Horizonte,113,4,2,1,1214000
São Paulo,170,3,2,2,1537200
São Paulo,150,3,2,0,756200
Porto Alegre,60,2,2,1,408400
Porto Alegre,43,1,1,0,497400
São Paulo,130,3,2,2,869000
São Paulo,69,3,2,0,552000
Campinas,306,3,2,2,592000
São Paulo,187,3,2,3,849200
São Paulo,385,3,4,3,2127600
São Paulo,355,4,4,3,1614000
Porto Alegre,90,2,1,1,380400
São Paulo,190,3,4,4,1070200
Campinas,181,2,1,2,310800
São Paulo,350,3,5,4,1857000
Belo Horizonte,168,5,3,2,958000
Rio de Janeiro,73,2,1,0,928200
São Paulo,378,5,5,4,1807800
Campinas,60,2,1,1,300000
Belo Horizonte,362,4,5,0,4262300
São Paulo,90,3,2,0,372400
Rio de Janeiro,42,1,1,0,515600
Rio de Janeiro,56,2,1,1,333800
São Paulo,16,1,1,0,178200
São Paulo,90,2,2,2,2305700
Belo Horizonte,67,1,1,0,258400
São Paulo,488,4,3,3,4364600
Rio de Janeiro,30,1,1,0,405000
São Paulo,290,6,3,4,1929200
São Paulo,266,3,3,4,2536200
Campinas,47,2,1,1,239400
Rio de Janeiro,590,6,6,2,1969400
São Paulo,900,4,9,8,4185600
São Paulo,86,2,1,1,468800
São Paulo,290,3,3,2,3245600
Porto Alegre,84,3,2,2,839800
São Paulo,160,3,1,2,1060200
São Paulo,37,1,1,0,828400
Campinas,73,3,1,1,243000
São Paulo,350,4,5,5,3998100
Rio de Janeiro,57,1,1,0,265000
Campinas,48,1,1,0,206000
Rio de Janeiro,30,1,1,0,245200
Campinas,198,6,3,4,435200
Porto Alegre,47,1,1,0,274800
Porto Alegre,60,2,1,1,216800
São Paulo,230,3,3,0,1374600
Belo Horizonte,90,2,1,1,309000
Rio de Janeiro,129,3,2,1,932800
São Paulo,240,4,4,4,1830800
Porto Alegre,55,1,1,0,352800
Porto Alegre,52,1,1,0,282000
São Paulo,250,3,4,3,1755200
São Paulo,200,3,2,2,2764100
Belo Horizonte,312,4,3,3,858400
São Paulo,230,5,5,3,2133900
São Paulo,72,2,2,2,694200
São Paulo,55,2,1,0,615000
Rio de Janeiro,72,2,2,1,938800
São Paulo,50,2,1,0,260400
São Paulo,17,1,1,0,548000
Belo Horizonte,160,3,3,2,569000
São Paulo,214,4,4,3,2085800
Rio de Janeiro,65,1,1,0,430800
São Paulo,136,3,2,1,1622800
Porto Alegre,70,2,2,1,485000
Porto Alegre,38,1,1,0,270000
São Paulo,450,8,5,5,1824200
Rio de Janeiro,67,2,1,1,715200
São Paulo,20,1,1,0,229800
São Paulo,41,1,1,0,380000
São Paulo,50,2,1,1,415400
São Paulo,205,3,3,3,1236800
São Paulo,100,3,2,1,770000
São Paulo,190,3,4,4,3840000
Belo Horizonte,45,2,1,0,274600
Campinas,57,1,1,1,296400
Porto Alegre,88,1,2,2,400800
São Paulo,70,1,1,1,796600
São Paulo,76,2,2,0,696400
Rio de Janeiro,36,1,1,0,373400
Porto Alegre,61,2,2,2,604800
São Paulo,280,4,3,6,2678400
São Paulo,480,5,6,3,1215200
Campinas,45,1,1,1,395000
São Paulo,42,1,1,0,598800
Porto Alegre,62,2,1,0,225400
São Paulo,38,2,1,0,322000
São Paulo,44,1,1,1,601800
São Paulo,75,3,2,2,726600
Rio de Janeiro,66,2,1,1,383400
São Paulo,125,3,3,2,576200
Campinas,62,2,1,2,443800
São Paulo,77,2,1,1,950400
São Paulo,136,2,4,2,1328600
São Paulo,200,4,2,1,1501400
São Paulo,35,1,1,0,314400
São Paulo,250,4,3,2,935600
São Paulo,90,2,2,2,832400
Campinas,72,2,2,1,270000
São Paulo,168,3,3,5,1080800
Porto Alegre,360,3,4,3,3578300
Campinas,38,1,1,1,256000
São Paulo,23,1,1,1,575200
Porto Alegre,440,3,3,3,2167800
São Paulo,120,3,3,2,970800
Rio de Janeiro,90,2,2,0,689400
Porto Alegre,125,4,2,0,560400
São Paulo,200,3,4,3,1624600
São Paulo,190,3,3,2,1078800
Belo Horizonte,123,3,2,1,628200
Campinas,53,2,1,1,470200
Rio de Janeiro,70,2,1,1,565800
São Paulo,90,2,2,2,2861900
São Paulo,95,3,2,0,322800
Campinas,74,3,1,1,285200
São Paulo,64,1,1,1,853200
São Paulo,155,4,5,3,1710400
Rio de Janeiro,125,3,1,2,677600
São Paulo,40,1,1,1,395200
Porto Alegre,350,3,2,4,1426000
Belo Horizonte,417,3,5,8,1645200
Porto Alegre,350,4,4,4,1259800
São Paulo,40,1,1,1,675200
São Paulo,30,1,1,1,868000
São Paulo,142,3,4,2,1206600
Porto Alegre,110,3,3,2,1131800
São Paulo,100,4,4,1,2032000
São Paulo,377,5,4,3,1804200
São Paulo,230,2,3,3,2262000
São Paulo,35,1,1,0,469600
São Paulo,32,1,1,1,694000
São Paulo,74,2,1,1,534400
São Paulo,147,2,3,4,838200
São Paulo,35,1,1,0,614400
Rio de Janeiro,26,1,1,0,446800
São Paulo,70,2,2,1,448800
São Paulo,150,3,3,3,1075200
São Paulo,200,3,3,2,1682600
Campinas,60,1,1,1,349200
São Paulo,250,4,5,3,923400
São Paulo,44,1,2,0,1353600
São Paulo,250,7,5,2,1218200
São Paulo,157,3,2,0,1246000
São Paulo,97,2,2,0,1374200
Belo Horizonte,548,4,7,6,4717900
São Paulo,28,1,1,0,268400
São Paulo,250,3,4,0,2758400
Belo Horizonte,193,4,2,2,1860200
Belo Horizonte,428,5,5,4,2085500
São Paulo,50,2,1,0,232600
São Paulo,135,2,3,2,2999800
Rio de Janeiro,103,2,2,1,474400
Campinas,103,3,2,2,634000
São Paulo,80,3,2,1,482000
São Paulo,160,3,3,2,1134000
São Paulo,238,4,3,4,3025600
Belo Horizonte,500,7,4,4,1151600
São Paulo,580,5,5,4,5458100
São Paulo,80,1,1,0,288200
São Paulo,210,4,5,3,1363400
Porto Alegre,106,3,3,1,673800
Rio de Janeiro,30,1,1,0,347400
São Paulo,156,3,2,1,435600
São Paulo,60,1,1,1,253800
São Paulo,200,3,4,0,1619600
São Paulo,70,2,2,0,286200
São Paulo,177,4,5,4,2355600
São Paulo,103,3,3,2,658400
São Paulo,440,4,4,4,2936100
São Paulo,65,2,1,1,482800
Belo Horizonte,260,5,3,3,1308200
São Paulo,200,4,4,6,952000
São Paulo,96,3,2,1,888400
São Paulo,68,2,2,1,752800
Belo Horizonte,300,5,5,5,1004800
São Paulo,34,1,1,0,218400
Campinas,398,5,6,0,2561800
Belo Horizonte,100,1,1,0,527000
Belo Horizonte,176,4,5,3,1885400
Belo Horizonte,90,2,2,2,960800
Belo Horizonte,680,7,6,8,1712000
Belo Horizonte,220,4,3,0,3867800
São Paulo,110,2,2,2,465200
São Paulo,180,3,2,1,1417000
São Paulo,36,1,1,1,462200
Belo Horizonte,450,4,4,4,3220000
Rio de Janeiro,103,3,2,0,898200
Porto Alegre,101,2,2,2,561400
São Paulo,196,4,4,0,1997000
Rio de Janeiro,28,1,1,0,513800
São Paulo,260,3,4,4,913600
São Paulo,330,4,2,5,459800
Rio de Janeiro,70,3,2,1,381600
Rio de Janeiro,33,1,1,0,345800
São Paulo,160,3,3,2,2667900
São Paulo,60,2,1,1,383200
São Paulo,36,1,1,1,323600
São Paulo,20,1,1,0,417400
Porto Alegre,70,2,1,0,232400
São Paulo,180,3,4,4,954600
São Paulo,105,3,3,1,631600
São Paulo,275,4,5,4,3071700
Belo Horizonte,450,2,2,5,321600
Campinas,360,4,6,4,1796000
São Paulo,140,2,2,1,555000
São Paulo,900,3,5,8,2074100
Porto Alegre,152,3,5,3,1601800
São Paulo,280,3,4,3,1724200
São Paulo,230,4,4,3,1206000
Campinas,92,3,2,3,598800
Belo Horizonte,58,1,1,1,230600
Campinas,41,2,1,1,291400
São Paulo,206,4,4,3,2992000
Campinas,214,3,3,2,1643600
São Paulo,110,2,2,1,603600
Belo Horizonte,100,2,1,0,163000
Belo Horizonte,80,2,2,1,293200
Belo Horizonte,311,3,4,3,3600200
São Paulo,200,2,3,2,3511800
Campinas,96,3,2,2,846000
Rio de Janeiro,140,4,2,1,1631600
São Paulo,138,3,3,2,1728400
São Paulo,140,3,3,1,1301800
Rio de Janeiro,60,2,2,1,371800
São Paulo,40,1,1,0,128800
São Paulo,178,3,4,4,2739700
São Paulo,140,3,3,2,999800
São Paulo,72,2,1,0,379400
São Paulo,117,2,1,1,693200
São Paulo,35,1,1,1,204000
Porto Alegre,42,1,1,0,252600
Belo Horizonte,29,1,1,0,224600
São Paulo,130,2,1,0,567400
Rio de Janeiro,100,3,2,1,1549600
Rio de Janeiro,39,1,1,0,222200
São Paulo,61,1,1,0,403000
Campinas,750,4,5,5,2244400
Belo Horizonte,142,4,3,2,782600
Campinas,650,4,4,8,1562600
São Paulo,69,2,2,0,359800
São Paulo,100,2,2,4,537200
Belo Horizonte,300,4,2,2,2071700
São Paulo,190,3,4,3,1075000
Rio de Janeiro,115,2,2,0,1647800
Campinas,119,3,1,1,448400
São Paulo,100,2,3,1,631200
São Paulo,55,2,1,1,300200
São Paulo,44,1,1,1,770400
São Paulo,316,4,6,4,2966200
São Paulo,83,2,3,2,784000
Belo Horizonte,1000,5,7,8,3426000
São Paulo,150,3,2,1,1206600
São Paulo,53,2,1,1,949200
São Paulo,49,2,1,1,277400
Campinas,185,3,3,2,705600
Rio de Janeiro,40,1,1,0,247800
São Paulo,65,2,1,0,363600
São Paulo,67,3,2,1,429600
São Paulo,46,1,1,1,552600
Campinas,205,3,2,1,666800
Porto Alegre,550,5,5,3,1932000
Campinas,50,1,1,1,217000
São Paulo,266,4,5,4,3021600
Rio de Janeiro,280,3,2,2,2474000
São Paulo,1600,6,6,6,1909800
São Paulo,70,1,1,0,669400
São Paulo,84,3,2,2,664000
Belo Horizonte,40,1,1,0,325200
Rio de Janeiro,117,3,2,1,1059400
São Paulo,68,2,2,2,948000
Belo Horizonte,140,2,2,2,726800
São Paulo,450,4,2,3,2839600
Porto Alegre,44,1,2,0,322000
São Paulo,40,1,1,1,795800
São Paulo,70,1,2,1,1972800
São Paulo,50,1,2,0,192800
Belo Horizonte,405,2,3,0,1650600
São Paulo,75,2,2,1,813200
Belo Horizonte,80,3,3,1,416200
São Paulo,450,4,5,6,2703500
São Paulo,225,4,5,4,1759400
São Paulo,250,3,2,3,3755500
São Paulo,60,2,1,1,671600
São Paulo,31,1,1,1,1018800
São Paulo,100,3,1,3,439000
Belo Horizonte,20,1,1,0,312600
São Paulo,200,3,4,8,1426200
Campinas,50,1,1,1,510800
São Paulo,61,3,2,2,606000
São Paulo,200,3,4,2,3044000
Belo Horizonte,100,2,2,0,2256100
São Paulo,365,4,5,6,4077700
São Paulo,38,1,1,0,703400
Rio de Janeiro,49,2,1,0,357600
São Paulo,207,3,5,4,3097700
Campinas,82,3,2,1,497400
São Paulo,400,5,4,3,862200
Rio de Janeiro,170,4,2,2,2474000
Porto Alegre,105,3,2,2,704000
São Paulo,383,4,4,5,1188200
São Paulo,168,3,3,3,932400
São Paulo,53,2,2,1,952000
Porto Alegre,320,4,3,2,941000
São Paulo,300,3,4,3,2872000
Campinas,100,3,2,3,446800
São Paulo,40,1,1,0,198400
São Paulo,180,3,1,0,574400
São Paulo,257,4,5,4,2286300
São Paulo,178,2,4,2,2056000
São Paulo,179,3,3,0,2890300
Porto Alegre,64,2,1,0,423600
Porto Alegre,60,2,1,0,271200
São Paulo,55,1,1,1,614400
São Paulo,50,1,1,0,493000
São Paulo,82,3,2,2,498000
Rio de Janeiro,60,1,1,1,396400
Porto Alegre,40,1,1,1,517200
Campinas,230,4,4,8,1099400
São Paulo,73,2,1,1,403400
São Paulo,79,2,2,1,540200
São Paulo,230,3,4,2,1430600
Rio de Janeiro,214,3,3,3,3761600
São Paulo,120,2,1,0,322600
São Paulo,200,4,2,1,574400
Porto Alegre,85,3,2,2,878200
São Paulo,45,1,1,1,1718000
Porto Alegre,30,1,1,0,197400
São Paulo,57,2,2,1,561200
São Paulo,500,4,7,3,3545600
São Paulo,322,4,5,5,3953600
São Paulo,20,1,1,0,354800
Porto Alegre,100,2,2,1,274000
São Paulo,620,4,6,4,5568400
Porto Alegre,240,4,3,5,533000
São Paulo,95,3,2,2,1626200
São Paulo,35,1,1,1,553600
Belo Horizonte,325,5,4,7,1892600
São Paulo,58,3,1,1,662600
São Paulo,200,4,4,3,2303500
São Paulo,92,3,2,2,554200
Belo Horizonte,65,2,1,1,419200
Campinas,57,2,1,0,244000
São Paulo,50,2,1,1,404200
São Paulo,165,4,5,2,2487600
Rio de Janeiro,70,2,1,1,589400
São Paulo,230,4,3,1,1392800
Rio de Janeiro,34,1,1,0,592000
Rio de Janeiro,25,1,1,0,134200
São Paulo,50,2,1,1,364600
Porto Alegre,120,3,2,2,774800
Porto Alegre,60,2,1,1,304200
São Paulo,67,2,2,1,692800
São Paulo,22,1,1,0,510200
São Paulo,197,3,1,2,484400
Porto Alegre,105,3,3,1,752800
São Paulo,80,2,2,1,312800
Belo Horizonte,140,4,2,2,721400
Rio de Janeiro,70,2,2,1,1087200
Porto Alegre,383,5,5,4,2085800
São Paulo,172,3,4,3,2333500
Porto Alegre,57,2,2,1,465400
São Paulo,32,1,1,1,848400
Belo Horizonte,341,10,6,7,1210000
Belo Horizonte,600,5,6,8,2263500
São Paulo,43,2,1,1,470200
Campinas,98,3,2,1,412000
São Paulo,36,2,1,0,480600
Rio de Janeiro,42,1,1,0,683200
Campinas,120,3,3,3,720400
Rio de Janeiro,78,2,2,1,485800
São Paulo,113,3,4,2,1248400
