idade,classe_trabalho,escolaridade,anos_estudo,Estado_civil,raça,sexo,UF,regiao
24,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Branco,Masculino,BA,Nordeste
49,Funcionário Setor Privado,Ensino Médio Incompleto,9,Separado,Branco,Feminino,MG,Sudeste
25,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Masculino,ES,Sudeste
57,Funcionário Público,Ensino Médio Completo,13,Casado,Negro,Masculino,RJ,Sudeste
53,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,SP,Sudeste
44,Funcionário Setor Privado,Mestrado,14,Divorciado,Branco,Feminino,PR,Sul
41,Servidor Público,Ensino Médio Completo,11,Casado,Branco,Masculino,SC,Sul
29,Funcionário Setor Privado,Ensino Médio Completo,11,Solteiro,Branco,Masculino,RS,Sul
25,Funcionário Setor Privado,Ensino Médio Completo,10,Casado,Amarelo,Feminino,MS,Centro-Oeste
18,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Feminino,MT,Centro-Oeste
47,Funcionário Setor Privado,Mestrado,15,Casado,Branco,Feminino,GO,Centro-Oeste
50,Funcionário Público,Ensino Médio Completo,13,Divorciado,Branco,Masculino,DF,Centro-Oeste
47,MEI,Ensino Médio Incompleto,9,Divorciado,Branco,Masculino,RO,Norte
43,Funcionário Setor Privado,Ensino Médio Completo,10,Casado,Branco,Masculino,AC,Norte
46,Funcionário Setor Privado,Ensino Fundamental Incompleto,3,Casado,Branco,Masculino,AM,Norte
35,Funcionário Setor Privado,Ensino Médio Completo,11,Casado,Branco,Masculino,R,Norte
41,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,PA,Norte
30,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,AP,Norte
30,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Branco,Masculino,TO,Norte
32,,Ensino Fundamental Incompleto,4,União Estável,Branco,Masculino,MA,Nordeste
48,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,PI,Nordeste
42,Funcionário Setor Privado,Doutorado,16,Casado,Branco,Masculino,CE,Nordeste
29,Funcionário Setor Privado,Ensino Médio Completo,10,Divorciado,Branco,Masculino,RN,Nordeste
36,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,PB,Nordeste
28,Funcionário Setor Privado,Ensino Médio Completo,10,Divorciado,Branco,Feminino,PE,Nordeste
53,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Feminino,AL,Nordeste
49,MEI,Ensino Médio Completo,10,Casado,Branco,Masculino,SE,Nordeste
25,,Ensino Médio Completo,10,Solteiro,Branco,Masculino,BA,Nordeste
19,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Branco,Masculino,MG,Sudeste
31,Funcionário Setor Privado,Ensino Médio Completo,13,Separado,Negro,Feminino,ES,Sudeste
29,Autônomo,Ensino Médio Completo,13,Casado,Branco,Masculino,RJ,Sudeste
23,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Branco,Masculino,SP,Sudeste
79,Aposentado,Ensino Médio Completo,10,Casado,Branco,Masculino,PR,Sul
27,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Masculino,SC,Sul
40,Funcionário Setor Privado,Ensino Médio Completo,12,Casado,Branco,Masculino,RS,Sul
67,Aposentado,Ensino Fundamental Completo,6,Casado,Branco,Masculino,MS,Centro-Oeste
18,Funcionário Setor Privado,Ensino Médio Incompleto,7,Solteiro,Branco,Feminino,MT,Centro-Oeste
31,Empresário,Ensino Fundamental Incompleto,4,Casado,Branco,Masculino,GO,Centro-Oeste
18,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Masculino,DF,Centro-Oeste
52,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Branco,Masculino,RO,Norte
46,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Feminino,AC,Norte
59,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,AM,Norte
44,Funcionário Setor Privado,Ensino Médio Incompleto,9,Divorciado,Branco,Feminino,R,Norte
53,Funcionário Setor Privado,Ensino Médio Incompleto,9,Divorciado,Branco,Feminino,PA,Norte
49,Empresário,Ensino Médio Incompleto,9,Casado,Branco,Masculino,AP,Norte
33,Funcionário Setor Privado,Mestrado,14,Casado,Branco,Masculino,TO,Norte
30,Funcionário Setor Privado,Ensino Fundamental Completo,5,Solteiro,Branco,Masculino,MA,Nordeste
43,Funcionário Público,Doutorado,16,Solteiro,Branco,Feminino,PI,Nordeste
57,Funcionário Setor Privado,Ensino Médio Completo,11,Casado,Branco,Masculino,CE,Nordeste
37,Funcionário Setor Privado,Ensino Médio Completo,10,Divorciado,Branco,Feminino,RN,Nordeste
28,Funcionário Setor Privado,Ensino Médio Completo,10,Divorciado,Negro,Feminino,PB,Nordeste
30,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Pardo,Feminino,PE,Nordeste
34,Empresário,Ensino Médio Completo,13,Casado,Branco,Masculino,AL,Nordeste
29,Empresário,Ensino Médio Completo,10,Solteiro,Branco,Masculino,SE,Nordeste
48,Autônomo,Doutorado,16,Casado,Branco,Masculino,BA,Nordeste
37,Funcionário Setor Privado,Ensino Médio Completo,10,Casado,Branco,Masculino,MG,Sudeste
48,Funcionário Setor Privado,Ensino Médio Completo,12,Divorciado,Branco,Feminino,ES,Sudeste
32,Funcionário Público,Ensino Médio Incompleto,9,Solteiro,Negro,Masculino,RJ,Sudeste
76,Aposentado,Mestrado,14,Casado,Branco,Masculino,SP,Sudeste
44,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Branco,Masculino,PR,Sul
47,Autônomo,Mestrado,14,Solteiro,Branco,Feminino,SC,Sul
20,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Branco,Feminino,RS,Sul
29,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Masculino,MS,Centro-Oeste
32,MEI,Ensino Médio Incompleto,9,Casado,Branco,Masculino,MT,Centro-Oeste
17,Menor Aprendiz,Ensino Fundamental Completo,6,Solteiro,Branco,Feminino,GO,Centro-Oeste
30,Funcionário Setor Privado,Ensino Médio Incompleto,7,Solteiro,Branco,Masculino,DF,Centro-Oeste
31,Empresário,Ensino Médio Incompleto,9,Solteiro,Branco,Feminino,RO,Norte
42,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,AC,Norte
24,Funcionário Setor Privado,Ensino Médio Completo,13,Solteiro,Branco,Masculino,AM,Norte
38,Funcionário Setor Privado,Mestrado,15,Casado,Branco,Masculino,R,Norte
56,Autônomo,Ensino Médio Incompleto,9,Casado,Branco,Masculino,PA,Norte
28,Funcionário Setor Privado,Ensino Médio Completo,10,Casado,Branco,Feminino,AP,Norte
36,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Feminino,TO,Norte
53,Funcionário Setor Privado,Ensino Fundamental Completo,5,Casado,Branco,Masculino,MA,Nordeste
56,MEI,Ensino Médio Completo,10,Casado,Branco,Masculino,PI,Nordeste
49,Empresário,Ensino Médio Completo,11,Casado,Negro,Masculino,CE,Nordeste
55,Funcionário Setor Privado,Ensino Médio Completo,10,Casado,Branco,Masculino,RN,Nordeste
22,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Masculino,PB,Nordeste
21,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Branco,Feminino,PE,Nordeste
40,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Branco,Masculino,AL,Nordeste
30,Funcionário Setor Privado,Ensino Médio Completo,13,Solteiro,Negro,Masculino,SE,Nordeste
29,Servidor Público,Ensino Médio Completo,13,Casado,Branco,Masculino,BA,Nordeste
19,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Negro,Masculino,MG,Sudeste
47,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Branco,Feminino,ES,Sudeste
20,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Branco,Feminino,RJ,Sudeste
31,Funcionário Setor Privado,Ensino Médio Completo,12,Casado,Branco,Masculino,SP,Sudeste
35,,Ensino Médio Incompleto,9,Casado,Amarelo,Masculino,PR,Sul
39,Funcionário Setor Privado,Ensino Médio Completo,10,Divorciado,Branco,Masculino,SC,Sul
28,Funcionário Setor Privado,Ensino Médio Completo,12,Solteiro,Amarelo,Feminino,RS,Sul
24,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Feminino,MS,Centro-Oeste
38,Autônomo,Ensino Médio Incompleto,9,Casado,Branco,Masculino,MT,Centro-Oeste
37,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Branco,Masculino,GO,Centro-Oeste
46,Funcionário Setor Privado,Ensino Médio Completo,12,Divorciado,Negro,Feminino,DF,Centro-Oeste
38,Funcionário Público,Mestrado,14,Casado,Branco,Masculino,RO,Norte
43,Autônomo,Ensino Médio Incompleto,9,Casado,Branco,Masculino,AC,Norte
27,Funcionário Setor Privado,Ensino Médio Completo,11,Casado,Amarelo,Feminino,AM,Norte
20,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Branco,Masculino,R,Norte
49,Funcionário Setor Privado,Ensino Médio Completo,10,Casado,Pardo,Masculino,PA,Norte
61,MEI,Ensino Médio Incompleto,9,Casado,Branco,Masculino,AP,Norte
27,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Branco,Feminino,TO,Norte
19,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Amarelo,Masculino,MA,Nordeste
45,Funcionário Setor Privado,Ensino Médio Completo,11,Solteiro,Branco,Feminino,PI,Nordeste
70,Aposentado,Ensino Médio Completo,10,Solteiro,Branco,Masculino,CE,Nordeste
31,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Negro,Feminino,RN,Nordeste
22,Funcionário Setor Privado,Ensino Médio Completo,10,Casado,Amarelo,Masculino,PB,Nordeste
36,Funcionário Setor Privado,Ensino Médio Incompleto,9,Viúvo,Branco,Feminino,PE,Nordeste
64,Funcionário Setor Privado,Ensino Médio Incompleto,7,Casado,Branco,Masculino,AL,Nordeste
43,,Ensino Médio Completo,10,Divorciado,Branco,Feminino,SE,Nordeste
47,Empresário,Ensino Médio Completo,10,Divorciado,Branco,Feminino,BA,Nordeste
34,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Feminino,MG,Sudeste
33,Funcionário Setor Privado,Ensino Médio Completo,13,Solteiro,Pardo,Feminino,ES,Sudeste
21,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Masculino,RJ,Sudeste
52,,Ensino Médio Incompleto,9,Divorciado,Branco,Masculino,SP,Sudeste
48,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,PR,Sul
23,Funcionário Setor Privado,Ensino Médio Completo,13,Solteiro,Amarelo,Masculino,SC,Sul
71,Aposentado,Ensino Médio Completo,10,Separado,Negro,Masculino,RS,Sul
29,Funcionário Setor Privado,Ensino Médio Incompleto,9,Divorciado,Branco,Masculino,MS,Centro-Oeste
42,Funcionário Setor Privado,Ensino Médio Completo,13,Separado,Negro,Masculino,MT,Centro-Oeste
68,Aposentado,Ensino Fundamental Incompleto,2,Divorciado,Branco,Feminino,GO,Centro-Oeste
25,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Feminino,DF,Centro-Oeste
44,MEI,Mestrado,14,Divorciado,Pardo,Feminino,RO,Norte
28,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Pardo,Feminino,AC,Norte
45,Autônomo,Mestrado,14,Casado,Branco,Masculino,AM,Norte
36,Funcionário Setor Privado,Ensino Médio Completo,10,Divorciado,Branco,Feminino,R,Norte
39,Funcionário Público,Ensino Médio Completo,12,Solteiro,Branco,Masculino,PA,Norte
46,Servidor Público,Mestrado,14,Viúvo,Amarelo,Masculino,AP,Norte
18,Funcionário Setor Privado,Ensino Médio Incompleto,7,Solteiro,Amarelo,Masculino,TO,Norte
66,Aposentado,Ensino Médio Completo,11,Viúvo,Branco,Feminino,MA,Nordeste
27,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Masculino,PI,Nordeste
28,Servidor Público,Ensino Médio Incompleto,9,Casado,Branco,Masculino,CE,Nordeste
51,Funcionário Setor Privado,Ensino Médio Completo,10,Casado,Branco,Masculino,RN,Nordeste
27,Funcionário Setor Privado,Ensino Médio Completo,13,Solteiro,Branco,Masculino,PB,Nordeste
28,Servidor Público,Ensino Médio Completo,13,Casado,Branco,Masculino,PE,Nordeste
27,Funcionário Setor Privado,Ensino Médio Incompleto,9,União Estável,Branco,Feminino,AL,Nordeste
21,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Negro,Masculino,SE,Nordeste
34,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Negro,Masculino,BA,Nordeste
18,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Masculino,MG,Sudeste
33,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Branco,Masculino,ES,Sudeste
44,Empresário,Ensino Médio Completo,10,Casado,Negro,Masculino,RJ,Sudeste
43,Funcionário Setor Privado,Ensino Médio Completo,10,Divorciado,Branco,Feminino,SP,Sudeste
30,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Negro,Masculino,PR,Sul
40,Funcionário Setor Privado,Ensino Fundamental Incompleto,4,Casado,Branco,Masculino,SC,Sul
37,Funcionário Público,Ensino Médio Completo,10,Casado,Branco,Masculino,RS,Sul
34,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Negro,Masculino,MS,Centro-Oeste
41,Autônomo,Ensino Médio Completo,13,Divorciado,Branco,Feminino,MT,Centro-Oeste
53,,Ensino Médio Completo,13,Divorciado,Branco,Feminino,GO,Centro-Oeste
31,Funcionário Setor Privado,Mestrado,14,Casado,Branco,Feminino,DF,Centro-Oeste
58,Servidor Público,Doutorado,16,Casado,Branco,Masculino,RO,Norte
38,Funcionário Setor Privado,Ensino Médio Completo,10,Divorciado,Negro,Feminino,AC,Norte
24,Funcionário Setor Privado,Ensino Médio Completo,10,Casado,Branco,Masculino,AM,Norte
41,Empresário,Ensino Médio Completo,13,Casado,Negro,Masculino,R,Norte
47,Funcionário Setor Privado,Ensino Médio Completo,10,Casado,Amarelo,Masculino,PA,Norte
41,Funcionário Público,Ensino Médio Completo,13,Casado,Amarelo,Masculino,AP,Norte
23,Funcionário Setor Privado,Ensino Fundamental Incompleto,3,Casado,Branco,Masculino,TO,Norte
36,Funcionário Setor Privado,Ensino Médio Completo,10,Divorciado,Branco,Masculino,MA,Nordeste
40,Funcionário Público,Mestrado,14,Solteiro,Amarelo,Feminino,PI,Nordeste
35,Funcionário Setor Privado,Mestrado,14,Casado,Branco,Masculino,CE,Nordeste
24,Autônomo,Ensino Médio Incompleto,9,Solteiro,Branco,Masculino,RN,Nordeste
26,Funcionário Setor Privado,Mestrado,14,Solteiro,Branco,Feminino,PB,Nordeste
19,,Ensino Médio Incompleto,9,Solteiro,Amarelo,Masculino,PE,Nordeste
51,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Branco,Masculino,AL,Nordeste
42,Empresário,Ensino Médio Completo,10,Solteiro,Amarelo,Feminino,SE,Nordeste
37,Servidor Público,Ensino Médio Incompleto,9,Divorciado,Branco,Feminino,BA,Nordeste
18,Funcionário Setor Privado,Ensino Médio Incompleto,7,Solteiro,Amarelo,Feminino,MG,Sudeste
36,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Negro,Masculino,ES,Sudeste
35,Funcionário Setor Privado,Ensino Médio Incompleto,9,Divorciado,Branco,Masculino,RJ,Sudeste
58,MEI,Ensino Médio Incompleto,9,Casado,Branco,Feminino,SP,Sudeste
17,Menor Aprendiz,Ensino Médio Incompleto,7,Solteiro,Branco,Feminino,PR,Sul
44,Empresário,Ensino Médio Incompleto,9,Casado,Negro,Masculino,SC,Sul
37,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,RS,Sul
35,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Indígena,Feminino,MS,Centro-Oeste
60,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Pardo,Masculino,MT,Centro-Oeste
54,MEI,Ensino Fundamental Incompleto,4,Casado,Branco,Masculino,GO,Centro-Oeste
37,Funcionário Setor Privado,Ensino Médio Completo,13,Solteiro,Negro,Masculino,DF,Centro-Oeste
50,Funcionário Setor Privado,Ensino Médio Completo,12,Divorciado,Branco,Feminino,RO,Norte
38,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Branco,Masculino,AC,Norte
45,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Amarelo,Masculino,AM,Norte
25,Funcionário Setor Privado,Ensino Fundamental Completo,6,Solteiro,Branco,Masculino,R,Norte
31,Funcionário Setor Privado,Ensino Médio Completo,10,Casado,Amarelo,Masculino,PA,Norte
64,,Ensino Fundamental Incompleto,2,Divorciado,Branco,Masculino,AP,Norte
90,Aposentado,Ensino Médio Incompleto,9,Solteiro,Negro,Masculino,TO,Norte
54,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Negro,Masculino,MA,Nordeste
53,Empresário,Analfabeto,1,Solteiro,Branco,Feminino,PI,Nordeste
18,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Feminino,CE,Nordeste
60,,Ensino Fundamental Completo,6,Divorciado,Indígena,Feminino,RN,Nordeste
66,Aposentado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,PB,Nordeste
75,Aposentado,Ensino Médio Completo,11,Viúvo,Branco,Feminino,PE,Nordeste
65,Funcionário Setor Privado,Ensino Médio Incompleto,9,Divorciado,Branco,Feminino,AL,Nordeste
35,Funcionário Setor Privado,Ensino Médio Incompleto,7,Separado,Negro,Masculino,SE,Nordeste
41,Funcionário Setor Privado,Ensino Médio Incompleto,9,Divorciado,Negro,Feminino,BA,Nordeste
25,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Branco,Masculino,MG,Sudeste
33,Funcionário Setor Privado,Ensino Médio Completo,10,Divorciado,Amarelo,Feminino,ES,Sudeste
28,Funcionário Setor Privado,Mestrado,15,Solteiro,Branco,Masculino,RJ,Sudeste
59,Servidor Público,Ensino Médio Incompleto,9,Casado,Branco,Masculino,SP,Sudeste
40,Servidor Público,Ensino Médio Completo,10,Solteiro,Branco,Feminino,PR,Sul
41,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Branco,Masculino,SC,Sul
38,Empresário,Mestrado,14,Casado,Branco,Masculino,RS,Sul
23,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Masculino,MS,Centro-Oeste
40,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Branco,Masculino,MT,Centro-Oeste
41,Autônomo,Ensino Médio Incompleto,9,Casado,Branco,Feminino,GO,Centro-Oeste
24,Servidor Público,Ensino Médio Completo,12,Casado,Branco,Masculino,DF,Centro-Oeste
20,,Ensino Médio Completo,10,Solteiro,Branco,Masculino,RO,Norte
38,Funcionário Setor Privado,Ensino Médio Completo,10,Divorciado,Branco,Masculino,AC,Norte
56,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,AM,Norte
58,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,R,Norte
32,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Feminino,PA,Norte
40,Funcionário Setor Privado,Ensino Médio Completo,12,Casado,Branco,Masculino,AP,Norte
45,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,TO,Norte
41,Funcionário Setor Privado,Mestrado,15,Casado,Branco,Feminino,MA,Nordeste
42,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Negro,Feminino,PI,Nordeste
59,Empresário,Ensino Fundamental Completo,6,Viúvo,Negro,Feminino,CE,Nordeste
19,Empresário,Ensino Médio Completo,10,Solteiro,Branco,Masculino,RN,Nordeste
58,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Branco,Masculino,PB,Nordeste
42,Autônomo,Ensino Médio Incompleto,9,Casado,Pardo,Masculino,PE,Nordeste
20,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Feminino,AL,Nordeste
32,Funcionário Setor Privado,Ensino Médio Incompleto,9,Separado,Branco,Feminino,SE,Nordeste
45,Funcionário Setor Privado,Ensino Médio Completo,11,Viúvo,Branco,Feminino,BA,Nordeste
50,Funcionário Setor Privado,Ensino Fundamental Incompleto,4,Divorciado,Branco,Masculino,MG,Sudeste
36,Funcionário Setor Privado,Ensino Médio Completo,13,Divorciado,Branco,Feminino,ES,Sudeste
45,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,RJ,Sudeste
17,Menor Aprendiz,Ensino Médio Incompleto,7,Solteiro,Branco,Masculino,SP,Sudeste
59,Funcionário Setor Privado,Ensino Médio Completo,10,Casado,Branco,Masculino,PR,Sul
26,Funcionário Setor Privado,Ensino Médio Incompleto,7,Casado,Branco,Masculino,SC,Sul
37,MEI,Ensino Médio Completo,10,Casado,Pardo,Masculino,RS,Sul
19,,Ensino Médio Completo,10,Solteiro,Branco,Masculino,MS,Centro-Oeste
64,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,MT,Centro-Oeste
33,Funcionário Setor Privado,Ensino Médio Completo,13,Solteiro,Branco,Feminino,GO,Centro-Oeste
33,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Feminino,DF,Centro-Oeste
61,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,RO,Norte
17,Menor Aprendiz,Ensino Fundamental Completo,5,Solteiro,Branco,Masculino,AC,Norte
50,Autônomo,Mestrado,14,Casado,Branco,Masculino,AM,Norte
27,Empresário,Mestrado,14,Solteiro,Branco,Masculino,R,Norte
30,Funcionário Setor Privado,Ensino Médio Incompleto,9,Divorciado,Branco,Feminino,PA,Norte
43,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Negro,Masculino,AP,Norte
44,Funcionário Setor Privado,Ensino Médio Completo,10,Casado,Branco,Masculino,TO,Norte
35,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Branco,Feminino,MA,Nordeste
25,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Branco,Feminino,PI,Nordeste
24,Funcionário Setor Privado,Ensino Médio Completo,10,Casado,Branco,Feminino,CE,Nordeste
22,Funcionário Setor Privado,Ensino Médio Completo,13,Solteiro,Branco,Feminino,RN,Nordeste
42,Empresário,Ensino Médio Completo,10,Casado,Branco,Masculino,PB,Nordeste
34,Funcionário Setor Privado,Ensino Médio Completo,12,Divorciado,Negro,Feminino,PE,Nordeste
60,Funcionário Setor Privado,Ensino Médio Completo,13,Divorciado,Branco,Feminino,AL,Nordeste
21,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Masculino,SE,Nordeste
57,Funcionário Público,Mestrado,14,Casado,Branco,Masculino,BA,Nordeste
41,Funcionário Setor Privado,Mestrado,15,Casado,Branco,Masculino,MG,Sudeste
50,Funcionário Setor Privado,Ensino Médio Completo,10,Divorciado,Branco,Masculino,ES,Sudeste
25,Funcionário Setor Privado,Ensino Médio Completo,13,Solteiro,Branco,Feminino,RJ,Sudeste
